# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log -r 1
# Start time:   2023-02-28 18:26:58
# Current time: 2023-02-28 19:22:09
# Retrying bad sectors... Retry 1 (forwards)
# current_pos  current_status  current_pass
0x000AC200     -               1
#      pos        size  status
0x0005D000  0x00000600  +
0x0005D600  0x00000400  -
0x0005DA00  0x00000400  +
0x0005DE00  0x00000600  -
0x0005E400  0x00000400  +
0x0005E800  0x00000200  -
0x0005EA00  0x00000400  +
0x0005EE00  0x00000400  -
0x0005F200  0x00000600  +
0x0005F800  0x00000600  -
0x0005FE00  0x00000600  +
0x00060400  0x00000400  -
0x00060800  0x00000800  +
0x00061000  0x00000800  -
0x00061800  0x00000400  +
0x00061C00  0x00000600  -
0x00062200  0x00000400  +
0x00062600  0x00000600  -
0x00062C00  0x00000400  +
0x00063000  0x00000200  -
0x00063200  0x00000400  +
0x00063600  0x00000400  -
0x00063A00  0x00000400  +
0x00063E00  0x00000800  -
0x00064600  0x00000400  +
0x00064A00  0x00000600  -
0x00065000  0x00000800  +
0x00065800  0x00000800  -
0x00066000  0x00000600  +
0x00066600  0x00000400  -
0x00066A00  0x00000400  +
0x00066E00  0x00000600  -
0x00067400  0x00000400  +
0x00067800  0x00000200  -
0x00067A00  0x00000400  +
0x00067E00  0x00000400  -
0x00068200  0x00000400  +
0x00068600  0x00000800  -
0x00068E00  0x00000600  +
0x00069400  0x00000400  -
0x00069800  0x00000800  +
0x0006A000  0x00000800  -
0x0006A800  0x00000400  +
0x0006AC00  0x00000600  -
0x0006B200  0x00000400  +
0x0006B600  0x00000600  -
0x0006BC00  0x00000400  +
0x0006C000  0x00000200  -
0x0006C200  0x00000400  +
0x0006C600  0x00000400  -
0x0006CA00  0x00000600  +
0x0006D000  0x00000600  -
0x0006D600  0x00000400  +
0x0006DA00  0x00000600  -
0x0006E000  0x00000800  +
0x0006E800  0x00000800  -
0x0006F000  0x00000600  +
0x0006F600  0x00000400  -
0x0006FA00  0x00000400  +
0x0006FE00  0x00000600  -
0x00070400  0x00000400  +
0x00070800  0x00000200  -
0x00070A00  0x00000400  +
0x00070E00  0x00000400  -
0x00071200  0x00000600  +
0x00071800  0x00000600  -
0x00071E00  0x00000400  +
0x00072200  0x00000600  -
0x00072800  0x00000800  +
0x00073000  0x00000800  -
0x00073800  0x00000400  +
0x00073C00  0x00000600  -
0x00074200  0x00000400  +
0x00074600  0x00000600  -
0x00074C00  0x00000400  +
0x00075000  0x00000200  -
0x00075200  0x00000400  +
0x00075600  0x00000400  -
0x00075A00  0x00000600  +
0x00076000  0x00000600  -
0x00076600  0x00000400  +
0x00076A00  0x00000600  -
0x00077000  0x00000800  +
0x00077800  0x00000800  -
0x00078000  0x00000600  +
0x00078600  0x00000400  -
0x00078A00  0x00000400  +
0x00078E00  0x00000600  -
0x00079400  0x00000400  +
0x00079800  0x00000200  -
0x00079A00  0x00000400  +
0x00079E00  0x00000400  -
0x0007A200  0x00000600  +
0x0007A800  0x00000600  -
0x0007AE00  0x00000600  +
0x0007B400  0x00000400  -
0x0007B800  0x00000800  +
0x0007C000  0x00000800  -
0x0007C800  0x00000400  +
0x0007CC00  0x00000600  -
0x0007D200  0x00000400  +
0x0007D600  0x00000600  -
0x0007DC00  0x00000400  +
0x0007E000  0x00000200  -
0x0007E200  0x00000400  +
0x0007E600  0x00000400  -
0x0007EA00  0x00000600  +
0x0007F000  0x00000600  -
0x0007F600  0x00000600  +
0x0007FC00  0x00000400  -
0x00080000  0x00000800  +
0x00080800  0x00000800  -
0x00081000  0x00000400  +
0x00081400  0x00000600  -
0x00081A00  0x00000400  +
0x00081E00  0x00000600  -
0x00082400  0x00000400  +
0x00082800  0x00000200  -
0x00082A00  0x00000400  +
0x00082E00  0x00000400  -
0x00083200  0x00000600  +
0x00083800  0x00000600  -
0x00083E00  0x00000400  +
0x00084200  0x00000600  -
0x00084800  0x00000800  +
0x00085000  0x00000800  -
0x00085800  0x00000400  +
0x00085C00  0x00000600  -
0x00086200  0x00000400  +
0x00086600  0x00000600  -
0x00086C00  0x00000400  +
0x00087000  0x00000200  -
0x00087200  0x00000400  +
0x00087600  0x00000400  -
0x00087A00  0x00000600  +
0x00088000  0x00000600  -
0x00088600  0x00000600  +
0x00088C00  0x00000400  -
0x00089000  0x00000800  +
0x00089800  0x00000800  -
0x0008A000  0x00000400  +
0x0008A400  0x00000600  -
0x0008AA00  0x00000400  +
0x0008AE00  0x00000600  -
0x0008B400  0x00000400  +
0x0008B800  0x00000200  -
0x0008BA00  0x00000400  +
0x0008BE00  0x00000400  -
0x0008C200  0x00000600  +
0x0008C800  0x00000600  -
0x0008CE00  0x00000600  +
0x0008D400  0x00000400  -
0x0008D800  0x00000800  +
0x0008E000  0x00000800  -
0x0008E800  0x00000600  +
0x0008EE00  0x00000400  -
0x0008F200  0x00000400  +
0x0008F600  0x00000600  -
0x0008FC00  0x00000400  +
0x00090000  0x00000200  -
0x00090200  0x00000400  +
0x00090600  0x00000400  -
0x00090A00  0x00000600  +
0x00091000  0x00000600  -
0x00091600  0x00000600  +
0x00091C00  0x00000400  -
0x00092000  0x00000800  +
0x00092800  0x00000800  -
0x00093000  0x00000400  +
